"",feature,importance
26,satellite_cn0_std,0.125769
8,nrSatellitesInFix,0.094416
24,satellite_cn0_median,0.090000
10,meanCn0GPS,0.090000
25,satellite_cn0_mode,0.086174
20,GPS_counts,0.080000
23,GLONASS_counts,0.074091
11,maxCn0GPS,0.070000
21,BEIDOU_counts,0.070000
27,satellite_cn0_range,0.061667
22,GALILEO_counts,0.038400
0,cellStrength,0.037049
5,bAccuracyGPS,0.016667
9,minCn0GPS,0.011487
4,vAccuracyGPS,0.010000
3,hAccuracyGPS,0.010000
14,meanCn0Bl,0.010000
18,meanCn0Wifi,0.007160
17,minCn0Wifi,0.006925
29,bluetooth_rssi_mode,0.004231
28,bluetooth_rssi_median,0.002840
1,hAccuracyNetwork,0.001600
32,wifi_rssi_median,0.001526
34,wifi_rssi_std,0.000000
33,wifi_rssi_mode,0.000000
31,bluetooth_rssi_range,0.0
30,bluetooth_rssi_std,0.0
2,vAccuracyNetwork,0.0
19,maxCn0Wifi,0.0
6,speedAccuracyGPS,0.0
7,nrSatellitesInView,0.0
12,nrBlDevices,0.0
13,minCn0Bl,0.0
15,maxCn0Bl,0.0
16,nrWifiDevices,0.0
35,wifi_rssi_range,0.0
